text,intent
halo,salam
info kalori olahraga,cari_kalori_olahraga
bahan untuk membuat ikan musang matang,cari_resep
berapa kalori terbakar saat olahraga,cari_kalori_olahraga
makasih,terima_kasih
terima kasihya,terima_kasih
bahan untuk membuat bubur daging telur butternut,cari_resep
mau tahu kalori mentega wijen,cari_kalori
haiya,salam
olahraga membakar berapa kaloriya,cari_kalori_olahraga
ok makasihya,terima_kasih
selamat siang,salam
cara masak donat krispy kreme glazed chocolate cake,cari_resep
kalau olahraga bakar berapa kalori,cari_kalori_olahraga
makasihya,terima_kasih
kalkulator kalori olahraga,cari_kalori_olahraga
info kalori olahraga,cari_kalori_olahraga
resep botok mangga muda udang tahu dong,cari_resep
selamat siangya,salam
makasih,terima_kasih
halo botya,salam
selamat siang,salam
detail nutrisi untuk biokul plain yogurt,cari_nutrisi
permisiya,salam
terima kasih banyak,terima_kasih
info kalori gulai 🐐kacang merah dong,cari_kalori
pepes ikan layang/kembung ada berapa kalorinya,cari_kalori
kalori aktivitas fisik,cari_kalori_olahraga
info kalori olahragaya,cari_kalori_olahraga
heiya,salam
makasihya,terima_kasih
cek kalori spaghetti sarden homemade sederhana ala anto,cari_kalori
berapa kalori terbakar saat olahraga,cari_kalori_olahraga
ajari aku bikin beras merah tumbuk,cari_resep
berapa pembakaran kalori saat senam atau lari,cari_kalori_olahraga
ok makasih,terima_kasih
info kalori olahraga,cari_kalori_olahraga
hei,salam
hitung kalori olahragaya,cari_kalori_olahraga
terima kasihya,terima_kasih
info kalori olahraga,cari_kalori_olahraga
cek kalori tempe goreng simple,cari_kalori
makasih yaya,terima_kasih
berapa kalori gurame kecap,cari_kalori
halo bot,salam
nutrisi tumis kapri+tahu+wortel saus tiram apa saja,cari_nutrisi
selamat siangya,salam
berapa pembakaran kalori saat senam atau lari,cari_kalori_olahraga
heiya,salam
berapa pembakaran kalori saat senam atau lari,cari_kalori_olahraga
makasih yaya,terima_kasih
kalori olahraga dong,cari_kalori_olahraga
ok makasihya,terima_kasih
selamat malamya,salam
selamat pagi,salam
haloya,salam
haiya,salam
terima kasihya,terima_kasih
halo,salam
heiya,salam
bakwan udang super simple💓 ada berapa kalorinya,cari_kalori
ok makasih,terima_kasih
minta resep goreng asem iga sapi,cari_resep
thanks,terima_kasih
info kalori chicken doritos dong,cari_kalori
info kalori steam kerapu dong,cari_kalori
selamat malamya,salam
hitung kalori olahraga,cari_kalori_olahraga
haiya,salam
kalori olahraga dong,cari_kalori_olahraga
selamat siangya,salam
detail nutrisi untuk sate kambing muda ala mama nino,cari_nutrisi
berapa kalori bass mentah,cari_kalori
apa kandungan gizi sop kambing#kita berbagi,cari_nutrisi
resep paprika dong,cari_resep
apakah oseng daging sapi simpel enak 🐴 kalorinya tinggi,cari_kalori
apa kandungan gizi beef kroket,cari_nutrisi
makasih yaya,terima_kasih
langkah memasak donat krispy kreme glazed chocolate cake,cari_resep
info nutrisi ikan bambangan segar,cari_nutrisi
cek kalori bubur daging telur butternut,cari_kalori
minta resep 07tauco ikan kembung rebus,cari_resep
mau tahu kalori telur dadar rumah makan padang simple,cari_kalori
detail nutrisi untuk geseng kambing,cari_nutrisi
makasih,terima_kasih
bahan untuk membuat udang panggang blackpepper (easy),cari_resep
langkah memasak sambel goreng udang petai,cari_resep
olahraga membakar berapa kalori,cari_kalori_olahraga
permisiya,salam
cara masak sardine saus pedas,cari_resep
kalori aktivitas fisik,cari_kalori_olahraga
minta resep crispy mongolian beef/daging crispy ala mongol,cari_resep
kalori olahraga dong,cari_kalori_olahraga
selamat malam,salam
kalori daging sapi sayur teriyaki berapa,cari_kalori
bagaimana cara membuat mendol tempe,cari_resep
info nutrisi purundawa,cari_nutrisi
halo bot,salam
makasih ya,terima_kasih
ok makasihya,terima_kasih
info nutrisi nila lada hitam,cari_nutrisi
terima kasih banyakya,terima_kasih
kandungan protein krengsengan daging kambing #kitaberbagi berapa,cari_nutrisi
bahan untuk membuat oseng tahu sirih sosis,cari_resep
apa kandungan gizi ikan tongkol -santan kuah merah,cari_nutrisi
olahraga membakar berapa kalori,cari_kalori_olahraga
info kalori olahragaya,cari_kalori_olahraga
permisi,salam
haiya,salam
kalori olahraga dong,cari_kalori_olahraga
beef soup thailand recipe bikin gemuk gak ya?,cari_kalori
halo,salam
olahraga membakar berapa kalori,cari_kalori_olahraga
kalau olahraga bakar berapa kalori,cari_kalori_olahraga
kalori steak daging sapi berapa,cari_kalori
cek kalori daging kambing pedas😀,cari_kalori
kalori aktivitas fisikya,cari_kalori_olahraga
kalkulator kalori olahragaya,cari_kalori_olahraga
selamat siang,salam
selamat siang,salam
kandungan kalori telur dadar gulung,cari_kalori
terima kasih,terima_kasih
kalori orak arik tauge dan telur berapa,cari_kalori
kalkulator kalori olahragaya,cari_kalori_olahraga
cek kalori nyomok tempe,cari_kalori
cara masak bali 3t pedas tahu tempe tongkol,cari_resep
selamat malamya,salam
hitung kalori olahragaya,cari_kalori_olahraga
makasih yaya,terima_kasih
bagaimana cara membuat bandeng bumbu acar,cari_resep
ajari aku bikin tongseng nampol#kitaberbagi,cari_resep
mau tahu kalori ayam goreng korea (spicy korean chicken),cari_kalori
selamat pagiya,salam
apa kandungan gizi telur dadar lembut,cari_nutrisi
haloya,salam
kalori aktivitas fisik,cari_kalori_olahraga
berapa kalori chicken pop corn salted egg,cari_kalori
detail nutrisi untuk [simple] sup tomat telur,cari_nutrisi
selamat pagiya,salam
hai,salam
cek gizi orak arik telur udang beranibaking,cari_nutrisi
nutrisi beef soup thailand recipe apa saja,cari_nutrisi
info nutrisi semur telor,cari_nutrisi
info kalori olahragaya,cari_kalori_olahraga
ajari aku bikin monde boromon cookies milk flavour,cari_resep
berapa pembakaran kalori saat senam atau lari,cari_kalori_olahraga
apakah perkedel tahu ayam kalorinya tinggi,cari_kalori
haloya,salam
selamat pagiya,salam
kalori olahraga dongya,cari_kalori_olahraga
selamat siangya,salam
info kalori olahragaya,cari_kalori_olahraga
kalori aktivitas fisik,cari_kalori_olahraga
thanks,terima_kasih
makasih,terima_kasih
apakah jagung putih mentah kalorinya tinggi,cari_kalori
